(223, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(230, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(233, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(234, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(235, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(237, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(242, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(247, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(249, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(252, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(259, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(260, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(264, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(272, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(273, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(278, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(279, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(287, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(289, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(292, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(295, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(296, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(297, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(300, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(305, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(307, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(308, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'R')
(209, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(212, '2021:08:10:15:34:18', '2021:08:10:15:34:18', 'L')
(403, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(405, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(407, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(418, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(427, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(429, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(432, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(433, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(436, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(439, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(442, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(443, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(444, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'R')
(445, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(454, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(460, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(490, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(493, '2021:08:10:16:04:43', '2021:08:10:16:04:43', 'L')
(505, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'L')
(507, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'R')
(514, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'R')
(518, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'R')
(521, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'R')
(527, '2021:08:10:17:02:31', '2021:08:10:17:02:31', 'R')
(544, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(548, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(549, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'L')
(550, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(559, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(564, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(565, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'L')
(569, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(581, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(596, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(597, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'R')
(598, '2021:08:10:17:02:32', '2021:08:10:17:02:32', 'L')
